"row_id","icd9_code","short_title","long_title"
2795,"3481","Anoxic brain damage","Anoxic brain damage"
2797,"34830","Encephalopathy NOS","Encephalopathy, unspecified"
2798,"34831","Metabolic encephalopathy","Metabolic encephalopathy"
2799,"34839","Encephalopathy NEC","Other encephalopathy"
3156,"2866","Defibrination syndrome","Defibrination syndrome"
3158,"2869","Coagulat defect NEC/NOS","Other and unspecified coagulation defects"
3167,"28741","Posttransfusion purpura","Posttransfusion purpura"
3168,"28749","Sec thrombocytpenia NEC","Other secondary thrombocytopenia"
3169,"2875","Thrombocytopenia NOS","Thrombocytopenia, unspecified"
3248,"2930","Delirium d/t other cond","Delirium due to conditions classified elsewhere"
3249,"2931","Subacute delirium","Subacute delirium"
3250,"29381","Psy dis w delus oth dis","Psychotic disorder with delusions in conditions classified elsewhere"
3251,"29382","Psy dis w halluc oth dis","Psychotic disorder with hallucinations in conditions classified elsewhere"
3252,"29383","Mood disorder other dis","Mood disorder in conditions classified elsewhere"
3253,"29384","Anxiety disorder oth dis","Anxiety disorder in conditions classified elsewhere"
3254,"29389","Transient mental dis NEC","Other specified transient mental disorders due to conditions classified elsewhere, other"
3255,"2939","Transient mental dis NOS","Unspecified transient mental disorder in conditions classified elsewhere"
5391,"4580","Orthostatic hypotension","Orthostatic hypotension"
5392,"4581","Chronic hypotension","Chronic hypotension"
5393,"45821","Hemododialysis hypotensn","Hypotension of hemodialysis"
5394,"45829","Iatrogenc hypotnsion NEC","Other iatrogenic hypotension"
5395,"4588","Hypotension NEC","Other specified hypotension"
5396,"4589","Hypotension NOS","Hypotension, unspecified"
5008,"570","Acute necrosis of liver","Acute and subacute necrosis of liver"
5818,"5734","Hepatic infarction","Hepatic infarction"
5904,"5845","Ac kidny fail, tubr necr","Acute kidney failure with lesion of tubular necrosis"
5905,"5846","Ac kidny fail, cort necr","Acute kidney failure with lesion of renal cortical necrosis"
5906,"5847","Ac kidny fail, medu necr","Acute kidney failure with lesion of renal medullary [papillary] necrosis"
5907,"5848","Acute kidney failure NEC","Acute kidney failure with other specified pathological lesion in kidney"
5908,"5849","Acute kidney failure NOS","Acute kidney failure, unspecified"
12989,"78550","Shock NOS","Shock, unspecified"
12990,"78551","Cardiogenic shock","Cardiogenic shock"
12991,"78552","Septic shock","Septic shock"
12992,"78559","Shock w/o trauma NEC","Other shock without mention of trauma"
