row_id,icd9_code,short_title,long_title
30,1760,TB of adrenal-unspec,"Tuberculosis of adrenal glands, unspecified"
31,1761,TB of adrenal-no exam,"Tuberculosis of adrenal glands, bacteriological or histological examination not done"
32,1762,TB of adrenal-exam unkn,"Tuberculosis of adrenal glands, bacteriological or histological examination unknown (at present)"
33,1763,TB of adrenal-micro dx,"Tuberculosis of adrenal glands, tubercle bacilli found (in sputum) by microscopy"
34,1764,TB of adrenal-cult dx,"Tuberculosis of adrenal glands, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
35,1765,TB of adrenal-histo dx,"Tuberculosis of adrenal glands, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
36,1766,TB of adrenal-oth test,"Tuberculosis of adrenal glands, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
37,1770,TB of spleen-unspec,"Tuberculosis of spleen, unspecified"
38,1771,TB of spleen-no exam,"Tuberculosis of spleen, bacteriological or histological examination not done"
39,1772,TB of spleen-exam unkn,"Tuberculosis of spleen, bacteriological or histological examination unknown (at present)"
40,1773,TB of spleen-micro dx,"Tuberculosis of spleen, tubercle bacilli found (in sputum) by microscopy"
41,1774,TB of spleen-cult dx,"Tuberculosis of spleen, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
42,1775,TB of spleen-histo dx,"Tuberculosis of spleen, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
43,1776,TB of spleen-oth test,"Tuberculosis of spleen, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
67,800,Intest infec e coli NOS,"Intestinal infection due to E. coli, unspecified"
68,801,Int inf e coli entrpath,Intestinal infection due to enteropathogenic E. coli
69,802,Int inf e coli entrtoxgn,Intestinal infection due to enterotoxigenic E. coli
70,803,Int inf e coli entrnvsv,Intestinal infection due to enteroinvasive E. coli
71,804,Int inf e coli entrhmrg,Intestinal infection due to enterohemorrhagic E. coli
72,809,Int inf e coli spcf NEC,Intestinal infection due to other intestinal E. coli infections
73,81,Arizona enteritis,Intestinal infection due to arizona group of paracolon bacilli
74,82,Aerobacter enteritis,Intestinal infection due to aerobacter aerogenes
75,83,Proteus enteritis,Intestinal infection due to proteus (mirabilis) (morganii)
76,841,Staphylococc enteritis,Intestinal infection due to staphylococcus
77,842,Pseudomonas enteritis,Intestinal infection due to pseudomonas
78,843,Int infec campylobacter,Intestinal infection due to campylobacter
79,844,Int inf yrsnia entrcltca,Intestinal infection due to yersinia enterocolitica
80,845,Int inf clstrdium dfcile,Intestinal infection due to Clostridium difficile
81,846,Intes infec oth anerobes,Intestinal infection due to other anaerobes
82,847,Int inf oth grm neg bctr,Intestinal infection due to other gram-negative bacteria
83,849,Bacterial enteritis NEC,Intestinal infection due to other organisms
84,85,Bacterial enteritis NOS,"Bacterial enteritis, unspecified"
85,861,Intes infec rotavirus,Enteritis due to rotavirus
86,862,Intes infec adenovirus,Enteritis due to adenovirus
87,863,Int inf norwalk virus,Enteritis due to norwalk virus
88,864,Int inf oth sml rnd vrus,Enteritis due to other small round viruses [SRV's]
89,865,Enteritis d/t calicivirs,Enteritis due to calicivirus
90,866,Intes infec astrovirus,Enteritis due to astrovirus
91,867,Int inf enterovirus NEC,Enteritis due to enterovirus nec
92,869,Other viral intes infec,Enteritis due to other viral enteritis
93,88,Viral enteritis NOS,"Intestinal infection due to other organism, not elsewhere classified"
94,90,Infectious enteritis NOS,"Infectious colitis, enteritis, and gastroenteritis"
95,91,Enteritis of infect orig,"Colitis, enteritis, and gastroenteritis of presumed infectious origin"
96,92,Infectious diarrhea NOS,Infectious diarrhea
97,93,Diarrhea of infect orig,Diarrhea of presumed infectious origin
98,1000,Prim TB complex-unspec,"Primary tuberculous infection, unspecified"
99,1001,Prim TB complex-no exam,"Primary tuberculous infection, bacteriological or histological examination not done"
100,1002,Prim TB complex-exm unkn,"Primary tuberculous infection, bacteriological or histological examination unknown (at present)"
101,1003,Prim TB complex-micro dx,"Primary tuberculous infection, tubercle bacilli found (in sputum) by microscopy"
102,1004,Prim TB complex-cult dx,"Primary tuberculous infection, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
103,1005,Prim TB complex-histo dx,"Primary tuberculous infection, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
104,1006,Prim TB complex-oth test,"Primary tuberculous infection, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
105,1010,Prim TB pleurisy-unspec,"Tuberculous pleurisy in primary progressive tuberculosis, unspecified"
106,1011,Prim TB pleurisy-no exam,"Tuberculous pleurisy in primary progressive tuberculosis, bacteriological or histological examination not done"
107,1012,Prim TB pleur-exam unkn,"Tuberculous pleurisy in primary progressive tuberculosis, bacteriological or histological examination unknown (at present)"
108,1013,Prim TB pleuris-micro dx,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli found (in sputum) by microscopy"
109,1014,Prim TB pleurisy-cult dx,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
110,1015,Prim TB pleuris-histo dx,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
111,1016,Prim TB pleuris-oth test,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
112,1080,Prim prog TB NEC-unspec,"Other primary progressive tuberculosis, unspecified"
113,1081,Prim prog TB NEC-no exam,"Other primary progressive tuberculosis, bacteriological or histological examination not done"
114,1082,Prim pr TB NEC-exam unkn,"Other primary progressive tuberculosis, bacteriological or histological examination unknown (at present)"
115,1083,Prim prg TB NEC-micro dx,"Other primary progressive tuberculosis, tubercle bacilli found (in sputum) by microscopy"
116,1084,Prim prog TB NEC-cult dx,"Other primary progressive tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
117,1085,Prim prg TB NEC-histo dx,"Other primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
118,1086,Prim prg TB NEC-oth test,"Other primary progressive tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
119,1090,Primary TB NOS-unspec,"Primary tuberculous infection, unspecified, unspecified"
120,1091,Primary TB NOS-no exam,"Primary tuberculous infection, unspecified, bacteriological or histological examination not done"
121,1092,Primary TB NOS-exam unkn,"Primary tuberculous infection, unspecified, bacteriological or histological examination unknown (at present)"
122,1093,Primary TB NOS-micro dx,"Primary tuberculous infection, unspecified, tubercle bacilli found (in sputum) by microscopy"
123,1094,Primary TB NOS-cult dx,"Primary tuberculous infection, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
124,1095,Primary TB NOS-histo dx,"Primary tuberculous infection, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
125,1096,Primary TB NOS-oth test,"Primary tuberculous infection, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
126,1100,TB lung infiltr-unspec,"Tuberculosis of lung, infiltrative, unspecified"
127,1101,TB lung infiltr-no exam,"Tuberculosis of lung, infiltrative, bacteriological or histological examination not done"
128,1102,TB lung infiltr-exm unkn,"Tuberculosis of lung, infiltrative, bacteriological or histological examination unknown (at present)"
129,1103,TB lung infiltr-micro dx,"Tuberculosis of lung, infiltrative, tubercle bacilli found (in sputum) by microscopy"
130,1104,TB lung infiltr-cult dx,"Tuberculosis of lung, infiltrative, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
131,1105,TB lung infiltr-histo dx,"Tuberculosis of lung, infiltrative, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
132,1106,TB lung infiltr-oth test,"Tuberculosis of lung, infiltrative, tubercle bacilli not found bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
140,1120,TB lung w cavity-unspec,"Tuberculosis of lung with cavitation, unspecified"
141,1121,TB lung w cavity-no exam,"Tuberculosis of lung with cavitation, bacteriological or histological examination not done"
142,1122,TB lung cavity-exam unkn,"Tuberculosis of lung with cavitation, bacteriological or histological examination unknown (at present)"
143,1123,TB lung w cavit-micro dx,"Tuberculosis of lung with cavitation, tubercle bacilli found (in sputum) by microscopy"
144,1124,TB lung w cavity-cult dx,"Tuberculosis of lung with cavitation, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
145,1125,TB lung w cavit-histo dx,"Tuberculosis of lung with cavitation, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
146,1126,TB lung w cavit-oth test,"Tuberculosis of lung with cavitation, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
168,1160,TB pneumonia-unspec,"Tuberculous pneumonia [any form], unspecified"
169,1161,TB pneumonia-no exam,"Tuberculous pneumonia [any form], bacteriological or histological examination not done"
170,1162,TB pneumonia-exam unkn,"Tuberculous pneumonia [any form], bacteriological or histological examination unknown (at present)"
171,1163,TB pneumonia-micro dx,"Tuberculous pneumonia [any form], tubercle bacilli found (in sputum) by microscopy"
172,1164,TB pneumonia-cult dx,"Tuberculous pneumonia [any form], tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
173,1165,TB pneumonia-histo dx,"Tuberculous pneumonia [any form], tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
174,1166,TB pneumonia-oth test,"Tuberculous pneumonia [any form], tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
196,1200,TB pleurisy-unspec,"Tuberculous pleurisy, unspecified"
197,1201,TB pleurisy-no exam,"Tuberculous pleurisy, bacteriological or histological examination not done"
198,1202,TB pleurisy-exam unkn,"Tuberculous pleurisy, bacteriological or histological examination unknown (at present)"
199,1203,TB pleurisy-micro dx,"Tuberculous pleurisy, tubercle bacilli found (in sputum) by microscopy"
200,1204,TB pleurisy-cult dx,"Tuberculous pleurisy, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
201,1205,TB pleurisy-histolog dx,"Tuberculous pleurisy, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
202,1206,TB pleurisy-oth test,"Tuberculous pleurisy, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
224,1280,Resp TB NEC-unspec,"Other specified respiratory tuberculosis, unspecified"
225,1281,Resp TB NEC-no exam,"Other specified respiratory tuberculosis, bacteriological or histological examination not done"
226,1282,Resp TB NEC-exam unkn,"Other specified respiratory tuberculosis, bacteriological or histological examination unknown (at present)"
227,1283,Resp TB NEC-micro dx,"Other specified respiratory tuberculosis, tubercle bacilli found (in sputum) by microscopy"
228,1284,Resp TB NEC-cult dx,"Other specified respiratory tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
229,1285,Resp TB NEC-histo dx,"Other specified respiratory tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
230,1286,Resp TB NEC-oth test,"Other specified respiratory tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
231,1300,TB meningitis-unspec,"Tuberculous meningitis, unspecified"
232,1301,TB meningitis-no exam,"Tuberculous meningitis, bacteriological or histological examination not done"
233,10,Cholera d/t vib cholerae,Cholera due to vibrio cholerae
234,11,Cholera d/t vib el tor,Cholera due to vibrio cholerae el tor
235,19,Cholera NOS,"Cholera, unspecified"
236,20,Typhoid fever,Typhoid fever
237,21,Paratyphoid fever a,Paratyphoid fever A
238,22,Paratyphoid fever b,Paratyphoid fever B
239,23,Paratyphoid fever c,Paratyphoid fever C
240,29,Paratyphoid fever NOS,"Paratyphoid fever, unspecified"
241,30,Salmonella enteritis,Salmonella gastroenteritis
242,31,Salmonella septicemia,Salmonella septicemia
244,321,Salmonella meningitis,Salmonella meningitis
245,322,Salmonella pneumonia,Salmonella pneumonia
247,324,Salmonella osteomyelitis,Salmonella osteomyelitis
250,39,Salmonella infection NOS,"Salmonella infection, unspecified"
251,40,Shigella dysenteriae,Shigella dysenteriae
252,41,Shigella flexneri,Shigella flexneri
253,42,Shigella boydii,Shigella boydii
254,43,Shigella sonnei,Shigella sonnei
255,48,Shigella infection NEC,Other specified shigella infections
257,50,Staph food poisoning,Staphylococcal food poisoning
258,51,Botulism food poisoning,Botulism food poisoning
259,52,Food pois d/t c. perfrin,Food poisoning due to Clostridium perfringens (C. welchii)
260,53,Food pois: clostrid NEC,Food poisoning due to other Clostridia
261,54,Food pois: v. parahaem,Food poisoning due to Vibrio parahaemolyticus
262,581,Food poisn d/t v. vulnif,Food poisoning due to Vibrio vulnificus
263,589,Bact food poisoning NEC,Other bacterial food poisoning
264,59,Food poisoning NOS,"Food poisoning, unspecified"
301,1600,TB of kidney-unspec,"Tuberculosis of kidney, unspecified"
302,1601,TB of kidney-no exam,"Tuberculosis of kidney, bacteriological or histological examination not done"
303,1602,TB of kidney-exam unkn,"Tuberculosis of kidney, bacteriological or histological examination unknown (at present)"
304,1603,TB of kidney-micro dx,"Tuberculosis of kidney, tubercle bacilli found (in sputum) by microscopy"
305,1604,TB of kidney-cult dx,"Tuberculosis of kidney, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
306,1605,TB of kidney-histo dx,"Tuberculosis of kidney, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
307,1606,TB of kidney-oth test,"Tuberculosis of kidney, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
491,4109,Other streptococcus,"Streptococcus infection in conditions classified elsewhere and of unspecified site, other streptococcus"
492,4110,Staphylococcus unspcfied,"Staphylococcus infection in conditions classified elsewhere and of unspecified site, staphylococcus, unspecified"
493,4111,Mth sus Stph aur els/NOS,Methicillin susceptible Staphylococcus aureus in conditions classified elsewhere and of unspecified site
494,4112,MRSA elsewhere/NOS,Methicillin resistant Staphylococcus aureus in conditions classified elsewhere and of unspecified site
495,4119,Other staphylococcus,"Staphylococcus infection in conditions classified elsewhere and of unspecified site, other staphylococcus"
496,412,Pneumococcus infect NOS,Pneumococcus infection in conditions classified elsewhere and of unspecified site
497,413,Klebsiella pneumoniae,Friedl?nder's bacillus infection in conditions classified elsewhere and of unspecified site
498,4141,Shiga txn-produce E.coli,Shiga toxin-producing Escherichia coli [E. coli] (STEC) O157
499,4142,Shga txn prod E.coli NEC,Other specified Shiga toxin-producing Escherichia coli [E. coli] (STEC)
500,4143,Shga txn prod E.coli NOS,"Shiga toxin-producing Escherichia coli [E. coli] (STEC), unspecified"
501,4149,E.coli infection NEC/NOS,Other and unspecified Escherichia coli [E. coli]
502,415,H. influenzae infect NOS,Hemophilus influenzae [H. influenzae] infection in conditions classified elsewhere and of unspecified site
503,416,Proteus infection NOS,Proteus (mirabilis) (morganii) infection in conditions classified elsewhere and of unspecified site
504,417,Pseudomonas infect NOS,Pseudomonas infection in conditions classified elsewhere and of unspecified site
505,4181,Mycoplasma,"Other specified bacterial infections in conditions classified elsewhere and of unspecified site, mycoplasma"
506,4182,Bacteroides fragilis,Bacteroides fragilis
507,4183,Clostridium perfringens,"Other specified bacterial infections in conditions classified elsewhere and of unspecified site, Clostridium perfringens"
508,4184,Other anaerobes,"Other specified bacterial infections in conditions classified elsewhere and of unspecified site, other anaerobes"
509,4185,Oth gram negatv bacteria,"Other specified bacterial infections in conditions classified elsewhere and of unspecified site, other gram-negative organisms"
511,4189,Oth specf bacteria,"Other specified bacterial infections in conditions classified elsewhere and of unspecified site, other specified bacteria"
512,419,Bacterial infection NOS,"Bacterial infection, unspecified, in conditions classified elsewhere and of unspecified site"
605,1793,TB of organ NEC-micro dx,"Tuberculosis of other specified organs, tubercle bacilli found (in sputum) by microscopy"
606,1794,TB of organ NEC-cult dx,"Tuberculosis of other specified organs, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
607,1795,TB of organ NEC-histo dx,"Tuberculosis of other specified organs, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
608,1796,TB of organ NEC-oth test,"Tuberculosis of other specified organs, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
