"row_id","icd9_code","short_title","long_title"
265,"0060","Ac amebiasis w/o abscess","Acute amebic dysentery without mention of abscess"
266,"0061","Chr amebiasis w/o absces","Chronic intestinal amebiasis without mention of abscess"
267,"0062","Amebic nondysent colitis","Amebic nondysenteric colitis"
53,"0063","Amebic liver abscess","Amebic liver abscess"
54,"0064","Amebic lung abscess","Amebic lung abscess"
55,"0065","Amebic brain abscess","Amebic brain abscess"
7288,"684","Impetigo","Impetigo"
540,"0470","Coxsackie virus mening","Meningitis due to coxsackie virus"
541,"0471","Echo virus meningitis","Meningitis due to echo virus"
542,"0478","Viral meningitis NEC","Other specified viral meningitis"
543,"0479","Viral meningitis NOS","Unspecified viral meningitis"
544,"048","Oth enteroviral cns dis","Other enterovirus diseases of central nervous system"
545,"0490","Lymphocytic choriomening","Lymphocytic choriomeningitis"
546,"0491","Adenoviral meningitis","Meningitis due to adenovirus"
564,"0530","Herpes zoster meningitis","Herpes zoster with meningitis"
593,"0545","Herpetic septicemia","Herpetic septicemia"
594,"0546","Herpetic whitlow","Herpetic whitlow"
595,"05471","Visceral herpes simplex","Visceral herpes simplex"
596,"05472","H simplex meningitis","Herpes simplex meningitis"
598,"05474","Herpes simplex myelitis","Herpes simplex myelitis"
599,"05479","H simplex complicat NEC","Herpes simplex with other specified complications"
600,"0548","H simplex complicat NOS","Herpes simplex with unspecified complication"
898,"13621","Infectn d/t acanthamoeba","Specific infection due to acanthamoeba"
900,"1363","Pneumocystosis","Pneumocystosis"
901,"1364","Psorospermiasis","Psorospermiasis"
902,"1365","Sarcosporidiosis","Sarcosporidiosis"
975,"05821","Human herpesvir 6 enceph","Human herpesvirus 6 encephalitis"
976,"05829","Human herpesvr encph NEC","Other human herpesvirus encephalitis"
977,"05881","Human herpesvirus 6 infc","Human herpesvirus 6 infection"
978,"05882","Human herpesvirus 7 infc","Human herpesvirus 7 infection"
979,"05889","Human herpesvirs inf NEC","Other human herpesvirus infection"
980,"05900","Orthopoxvirus infect NOS","Orthopoxvirus infection, unspecified"
982,"05909","Orthopoxvirus infect NEC","Other orthopoxvirus infections"
983,"05910","Parapoxvirus infectn NOS","Parapoxvirus infection, unspecified"
985,"05912","Sealpox","Sealpox"
986,"05919","Parapoxvirus infectn NEC","Other parapoxvirus infections"
987,"05920","Yatapoxvirus infectn NOS","Yatapoxvirus infection, unspecified"
989,"05922","Yaba monkey tumor virus","Yaba monkey tumor virus"
990,"0598","Poxvirus infections NEC","Other poxvirus infections"
991,"0599","Poxvirus infection NOS","Poxvirus infections, unspecified"
992,"0600","Sylvatic yellow fever","Sylvatic yellow fever"
993,"0601","Urban yellow fever","Urban yellow fever"
994,"0609","Yellow fever NOS","Yellow fever, unspecified"
995,"061","Dengue","Dengue"
996,"0620","Japanese encephalitis","Japanese encephalitis"
997,"0621","West equine encephalitis","Western equine encephalitis"
998,"0622","East equine encephalitis","Eastern equine encephalitis"
999,"0623","St Louis encephalitis","St. Louis encephalitis"
1000,"0624","Australian encephalitis","Australian encephalitis"
1001,"0625","California encephalitis","California virus encephalitis"
1002,"0628","Mosquit-borne enceph NEC","Other specified mosquito-borne viral encephalitis"
1003,"0629","Mosquit-borne enceph NOS","Mosquito-borne viral encephalitis, unspecified"
1004,"0630","Russia spr-summer enceph","Russian spring-summer [taiga] encephalitis"
1005,"0631","Louping ill","Louping ill"
1006,"0632","Cent Europe encephalitis","Central european encephalitis"
1007,"0638","Tick-borne enceph NEC","Other specified tick-borne viral encephalitis"
1008,"0639","Tick-borne enceph NOS","Tick-borne viral encephalitis, unspecified"
1009,"064","Vir enceph arthropod NEC","Viral encephalitis transmitted by other and unspecified arthropods"
1010,"0650","Crimean hemorrhagic fev","Crimean hemorrhagic fever [CHF Congo virus]"
1011,"0651","Omsk hemorrhagic fever","Omsk hemorrhagic fever"
1012,"0652","Kyasanur forest disease","Kyasanur forest disease"
1013,"0653","Tick-borne hem fever NEC","Other tick-borne hemorrhagic fever"
1014,"0654","Mosquito-borne hem fever","Mosquito-borne hemorrhagic fever"
1015,"0658","Arthropod hem fever NEC","Other specified arthropod-borne hemorrhagic fever"
1016,"0659","Arthropod hem fever NOS","Arthropod-borne hemorrhagic fever, unspecified"
1017,"0660","Phlebotomus fever","Phlebotomus fever"
1018,"0661","Tick-borne fever","Tick-borne fever"
1019,"0662","Venezuelan equine fever","Venezuelan equine fever"
1020,"0663","Mosquito-borne fever NEC","Other mosquito-borne fever"
1021,"06640","West Nile Fever NOS","West Nile Fever, unspecified"
1022,"06641","West Nile Fever w/enceph","West Nile Fever with encephalitis"
1023,"06642","West Nile neuro man NEC","West Nile Fever with other neurologic manifestation"
1024,"06649","West Nile w complic NEC","West Nile Fever with other complications"
1067,"07420","Coxsackie carditis NOS","Coxsackie carditis, unspecified"
1068,"07421","Coxsackie pericarditis","Coxsackie pericarditis"
1069,"07422","Coxsackie endocarditis","Coxsackie endocarditis"
1070,"07423","Coxsackie myocarditis","Coxsackie myocarditis"
1093,"0785","Cytomegaloviral disease","Cytomegaloviral disease"
1094,"0786","Hem nephrosonephritis","Hemorrhagic nephrosonephritis"
1095,"0787","Arenaviral hem fever","Arenaviral hemorrhagic fever"
1098,"07888","Oth spec dis chlamydiae","Other specified diseases due to chlamydiae"
1099,"07889","Oth spec dis viruses","Other specified diseases due to viruses"
1100,"0790","Adenovirus infect NOS","Adenovirus infection in conditions classified elsewhere and of unspecified site"
1101,"0791","Echo virus infect NOS","Echo virus infection in conditions classified elsewhere and of unspecified site"
1102,"0792","Coxsackie virus inf NOS","Coxsackie virus infection in conditions classified elsewhere and of unspecified site"
1103,"0793","Rhinovirus infect NOS","Rhinovirus infection in conditions classified elsewhere and of unspecified site"
1111,"07981","Hantavirus infection","Hantavirus infection"
1114,"07988","Oth spcf chlamydial infc","Other specified chlamydial infection"
1115,"07989","Oth specf viral infectn","Other specified viral infection"
1116,"07998","Chlamydial infection NOS","Unspecified chlamydial infection"
1117,"07999","Viral infection NOS","Unspecified viral infection"
1118,"080","Louse-borne typhus","Louse-borne (epidemic) typhus"
1119,"0810","Murine typhus","Murine (endemic) typhus"
1120,"0811","Brill's disease","Brill's disease"
1121,"0812","Scrub typhus","Scrub typhus"
1122,"0819","Typhus NOS","Typhus, unspecified"
1123,"0820","Spotted fevers","Spotted fevers"
1124,"0821","Boutonneuse fever","Boutonneuse fever"
1125,"0822","North asian tick fever","North Asian tick fever"
1126,"0823","Queensland tick typhus","Queensland tick typhus"
3074,"3210","Cryptococcal meningitis","Cryptococcal meningitis"
3075,"3211","Mening in oth fungal dis","Meningitis in other fungal diseases"
3076,"3212","Mening in oth viral dis","Meningitis due to viruses not elsewhere classified"
3077,"3213","Trypanosomiasis meningit","Meningitis due to trypanosomiasis"
3084,"32301","Enceph/encephmye oth dis","Encephalitis and encephalomyelitis in viral diseases classified elsewhere"
3085,"32302","Myelitis-oth viral dis","Myelitis in viral diseases classified elsewhere"
3086,"3231","Rickettsial encephalitis","Encephalitis, myelitis, and encephalomyelitis in rickettsial diseases classified elsewhere"
3087,"3232","Protozoal encephalitis","Encephalitis, myelitis, and encephalomyelitis in protozoal diseases classified elsewhere"
3088,"32341","Ot encph/mye ot inf else","Other encephalitis and encephalomyelitis due to other infections classified elsewhere"
3089,"32342","Oth myelitis ot inf else","Other myelitis due to other infections classified elsewhere"
3092,"32361","Inf ac dis encephalomyel","Infectious acute disseminated encephalomyelitis (ADEM)"
3093,"32362","Postinf encephalitis NEC","Other postinfectious encephalitis and encephalomyelitis"
3094,"32363","Postinfectious myelitis","Postinfectious myelitis"
4043,"36405","Hypopyon","Hypopyon"
3539,"38200","Ac supp otitis media NOS","Acute suppurative otitis media without spontaneous rupture of eardrum"
3540,"38201","Ac supp OM w drum rupt","Acute suppurative otitis media with spontaneous rupture of eardrum"
3541,"38202","Ac supp OM in oth dis","Acute suppurative otitis media in diseases classified elsewhere"
3548,"38301","Subperi mastoid abscess","Subperiosteal abscess of mastoid"
3697,"37004","Hypopyon ulcer","Hypopyon ulcer"
3717,"37055","Corneal abscess","Corneal abscess"
3864,"36000","Purulent endophthalm NOS","Purulent endophthalmitis, unspecified"
3865,"36001","Acute endophthalmitis","Acute endophthalmitis"
4283,"449","Septic arterial embolism","Septic arterial embolism"
4414,"42292","Septic myocarditis","Septic myocarditis"
4573,"38633","Suppurativ labyrinthitis","Suppurative labyrinthitis"
4574,"38634","Toxic labyrinthitis","Toxic labyrinthitis"
4575,"38635","Viral labyrinthitis","Viral labyrinthitis"
4767,"37601","Orbital cellulitis","Orbital cellulitis"
4769,"37603","Orbital osteomyelitis","Orbital osteomyelitis"
5388,"4572","Lymphangitis","Lymphangitis"
5412,"460","Acute nasopharyngitis","Acute nasopharyngitis [common cold]"
5435,"4660","Acute bronchitis","Acute bronchitis"
5436,"46611","Acu broncholitis d/t RSV","Acute bronchiolitis due to respiratory syncytial virus (RSV)"
5437,"46619","Acu brnchlts d/t oth org","Acute bronchiolitis due to other infectious organisms"
5461,"475","Peritonsillar abscess","Peritonsillar abscess"
5473,"47821","Cellulitis of pharynx","Cellulitis of pharynx or nasopharynx"
5474,"47822","Parapharyngeal abscess","Parapharyngeal abscess"
5475,"47824","Retropharyngeal abscess","Retropharyngeal abscess"
5488,"47871","Laryngeal cellulitis","Cellulitis and perichondritis of larynx"
5493,"4789","Upper resp dis NEC/NOS","Other and unspecified diseases of upper respiratory tract"
5494,"4800","Adenoviral pneumonia","Pneumonia due to adenovirus"
5495,"4801","Resp syncyt viral pneum","Pneumonia due to respiratory syncytial virus"
5496,"4802","Parinfluenza viral pneum","Pneumonia due to parainfluenza virus"
5497,"4803","Pneumonia due to SARS","Pneumonia due to SARS-associated coronavirus"
5498,"4808","Viral pneumonia NEC","Pneumonia due to other virus not elsewhere classified"
5499,"4809","Viral pneumonia NOS","Viral pneumonia, unspecified"
